command,algo,testname,num_features,num_inputs,mlspl_query,result_count,result_message,disk_write(kb),cpu_percent(%),command_time(sec),cpu_time(sec),memory(mb),run_time(sec)
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500_f10,10,500,| inputlookup cover_500.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t500_f10,500,Good Job,8.0,93.9,0.394,0.59,65.0,1.174
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500_f20,20,500,| inputlookup cover_500.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t500_f20,500,Good Job,16.0,98.6,0.297,0.6,66.0,1.08
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000_f20,20,1000,| inputlookup cover_1000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t1000_f20,1000,Good Job,16.0,94.5,0.345,0.59,68.0,1.149
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i2000_f20,20,2000,| inputlookup cover_2000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t2000_f20,2000,Good Job,16.0,94.5,0.452,0.7,75.0,1.271
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i5000_f20,20,5000,| inputlookup cover_5000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t5000_f20,5000,Good Job,20.0,94.9,0.75,0.77,88.0,1.624
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i10000_f20,20,10000,| inputlookup cover_10000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t10000_f20,10000,Good Job,20.0,102.7,1.282,1.02,112.0,2.218
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i20000_f20,20,20000,| inputlookup cover_20000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t20000_f20,20000,Good Job,20.0,102.2,2.243,1.46,153.0,3.385
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i50000_f20,20,50000,| inputlookup cover_50000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t50000_f20,50000,Good Job,16.0,100.0,5.178,2.67,286.0,6.863
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i100000_f20,20,100000,| inputlookup cover_100000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t100000_f20,100000,Good Job,20.0,103.2,14.405,4.94,472.0,20.706
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i200000_f20,20,200000,| inputlookup cover_200000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t200000_f20,100000,Good Job,36.0,104.1,18.355,5.69,539.0,26.918
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500000_f20,20,500000,| inputlookup cover_500000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t500000_f20,100000,Good Job,36.0,103.3,28.556,8.37,515.0,43.891
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000000_f20,20,1000000,| inputlookup cover_1000000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 into model_LinearRegression_t1000000_f20,100000,Good Job,64.0,103.6,45.971,12.6,537.0,72.746
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500_f50,50,500,| inputlookup cover_500.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t500_f50,500,Good Job,16.0,101.9,0.302,0.61,67.0,1.083
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000_f50,50,1000,| inputlookup cover_1000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t1000_f50,1000,Good Job,20.0,101.5,0.377,0.64,69.0,1.17
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i2000_f50,50,2000,| inputlookup cover_2000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t2000_f50,2000,Good Job,16.0,95.0,0.468,0.68,79.0,1.276
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i5000_f50,50,5000,| inputlookup cover_5000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t5000_f50,5000,Good Job,16.0,99.0,0.763,0.81,92.0,1.623
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i10000_f50,50,10000,| inputlookup cover_10000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t10000_f50,10000,Good Job,24.0,102.9,1.293,1.06,117.0,2.241
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i20000_f50,50,20000,| inputlookup cover_20000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t20000_f50,20000,Good Job,16.0,99.9,2.39,1.58,170.0,3.592
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i50000_f50,50,50000,| inputlookup cover_50000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t50000_f50,50000,Good Job,28.0,103.2,5.56,2.83,326.0,7.17
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i100000_f50,50,100000,| inputlookup cover_100000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t100000_f50,100000,Good Job,40.0,103.7,15.62,5.29,541.0,21.904
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i200000_f50,50,200000,| inputlookup cover_200000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t200000_f50,100000,Good Job,32.0,103.0,19.407,6.28,558.0,27.904
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500000_f50,50,500000,| inputlookup cover_500000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t500000_f50,100000,Good Job,52.0,103.2,31.009,9.43,568.0,46.275
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000000_f50,50,1000000,| inputlookup cover_1000000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points Wilderness_Area_1 Wilderness_Area_2 Wilderness_Area_3 Wilderness_Area_4 Soil_Type_1 Soil_Type_2 Soil_Type_3 Soil_Type_4 Soil_Type_5 Soil_Type_6 Soil_Type_7 Soil_Type_8 Soil_Type_9 Soil_Type_10 Soil_Type_11 Soil_Type_12 Soil_Type_13 Soil_Type_14 Soil_Type_15 Soil_Type_16 Soil_Type_17 Soil_Type_18 Soil_Type_19 Soil_Type_20 Soil_Type_21 Soil_Type_22 Soil_Type_23 Soil_Type_24 Soil_Type_25 Soil_Type_26 Soil_Type_27 Soil_Type_28 Soil_Type_29 Soil_Type_30 Soil_Type_31 Soil_Type_32 Soil_Type_33 Soil_Type_34 Soil_Type_35 Soil_Type_36 into model_LinearRegression_t1000000_f50,100000,Good Job,80.0,103.8,47.058,12.96,590.0,73.583
fit,ElasticNet,aws.m3.large_fit_ElasticNet_i500_f10,10,500,| inputlookup cover_500.csv | fit ElasticNet "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_ElasticNet_t500_f10,500,Good Job,16.0,97.7,0.3,0.59,66.0,1.095
fit,ElasticNet,aws.m3.large_fit_ElasticNet_i1000_f10,10,1000,| inputlookup cover_1000.csv | fit ElasticNet "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_ElasticNet_t1000_f10,1000,Good Job,12.0,102.1,0.354,0.62,68.0,1.142
fit,ElasticNet,aws.m3.large_fit_ElasticNet_i2000_f10,10,2000,| inputlookup cover_2000.csv | fit ElasticNet "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_ElasticNet_t2000_f10,2000,Good Job,12.0,91.4,0.493,0.7,75.0,1.301
fit,ElasticNet,aws.m3.large_fit_ElasticNet_i5000_f10,10,5000,| inputlookup cover_5000.csv | fit ElasticNet "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_ElasticNet_t5000_f10,5000,Good Job,12.0,101.9,0.828,0.86,89.0,1.696
fit,ElasticNet,aws.m3.large_fit_ElasticNet_i10000_f10,10,10000,| inputlookup cover_10000.csv | fit ElasticNet "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_ElasticNet_t10000_f10,10000,Good Job,16.0,101.3,1.418,1.16,107.0,2.386
